title,country,rating,listed_in,description
Morphle,Netherlands,TV-Y,"British TV Shows, Kids' TV","Little Mila turns playtime into a series of fun and educational adventures with her magical pet Morphle, who transforms into anything she dreams up!"
Destiny,"France, Egypt",TV-14,"Dramas, International Movies","In 12th-century Spain, a philosopher and his profound teachings jeopardize the caliph he serves when political rivals threaten a government upheaval."
ROMA,"Mexico, United States",R,"Dramas, Independent Movies, International Movies","Director Alfonso Cuarón delivers a vivid, emotional portrait of domestic life and social hierarchy set against Mexico's political turmoil of the 1970s."
Bad Grandpa .5,United States,TV-MA,Comedies,"The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise, which features unused footage from the first film."
Secrets of Westminster,"United States, United Kingdom",TV-PG,"Documentaries, International Movies","Take an insider's tour of Parliament, Big Ben and Westminster Abbey to discover the little-known history and pageantry of these famous buildings."
Power Rangers Mystic Force,United States,TV-Y7,Kids' TV,"When the wicked Undead Army is unleashed, sorceress Udonna empowers five teenagers – the Mystic Force Power Rangers – to save mankind."
Babel,"France, United States, Mexico",R,"Dramas, Independent Movies","When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries."
A Silent Voice,Japan,TV-14,"Anime Features, International Movies",A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.
Bucket List,India,TV-14,"Dramas, International Movies","After getting a heart transplant, a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor."
Jag älskar dig: En skilsmässokomedi,Sweden,TV-MA,"Comedies, Dramas, International Movies","Tired of her passionless marriage, Marianne wants a separation from her husband, Gustav, who, in response, decides to make a big change of his own."
My Love: Six Stories of True Love,"United States, Brazil, Japan, Spain, India",TV-PG,Docuseries,Six longtime couples in different parts of the world share their decades-long love in these tender portraits filmed over the course of one year.
Kill the Messenger,United States,R,"Dramas, Thrillers","In the 1980s, a crusading journalist uncovers secret CIA funding for Nicaraguan rebels, but the powers that be silence his investigation."
Ghost of the Mountains,United States,G,"Children & Family Movies, Documentaries",An international group of filmmakers sets out on a mission to get up close and personal with a family of elusive snow leopards.
Sneakerheads,United States,TV-MA,TV Comedies,Family man Devin falls back into his sneaker obsession after his pal Bobby talks him into a wheeling-dealing scheme to score a mythical pair of kicks.
Baahubali: The Beginning (Hindi Version),India,TV-14,"Action & Adventure, Dramas, International Movies",Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Hindi version of S.S. Rajamouli's epic.
Palazuelos mi rey,,TV-14,"International TV Shows, Reality TV, Spanish-Language TV Shows","This reality series follows entrepreneur and soap opera star Roberto Palazuelos as he builds his hotel empire and juggles riches, women and drama."
الف مبروك,Egypt,TV-14,"Comedies, Dramas, International Movies","On his wedding day, an arrogant, greedy accountant experiences a series of calamities that keep replaying as he lives the same day over and over again."
Pac's Scary Halloween,,TV-Y7,Movies,"When sinister Dr. Pacenstein schemes to swap bodies with Pac during a Halloween party, Spiral, Cyli and Count Pacula scramble to save their pal."
André & his olive tree,Singapore,TV-PG,"Documentaries, International Movies","As he prepares to close his restaurant, Michelin-starred Chef André Chiang embarks on a personal and emotional journey of reflection."
Bangkok Love Stories: Objects of Affection,Thailand,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",A kind computer repairman falls for a street-smart graffiti artist whose multiple personality disorder worsens after she witnesses a double murder.
Criminal Minds,"United States, Canada",TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",This intense police procedural follows a group of extraordinary FBI profilers who spend their days getting into the minds of psychopathic criminals.
Giving Voice,United States,PG-13,Documentaries,"Six ambitious student actors audition for the prestigious August Wilson Monologue Competition, culminating in a riveting final round on Broadway."
Miss Culinary,,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","After ditching her domestic life to become a chef, a clueless maid crosses paths with two charming suitors who help her reach her dreams."
Blood Money,India,TV-14,"Dramas, International Movies, Romantic Movies","Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career."
All In My Family,United States,TV-14,"Documentaries, LGBTQ Movies","After starting a family of his very own in America, a gay filmmaker documents his loving, traditional Chinese family's process of acceptance."
Cleo & Cuquin,Spain,TV-Y,Kids' TV,Spirited sister-brother duo Cleo and Cuquín try on different professions each day to help their other siblings solve problems and enjoy new adventures.
Gun Runners,Canada,TV-PG,"Documentaries, International Movies, Sports Movies",Two roaming Kenyan bandits attempt to change the course of their lives by exchanging their rifles for running shoes.
American Factory,United States,TV-14,Documentaries,"In this documentary, hopes soar when a Chinese company reopens a shuttered factory in Ohio. But a culture clash threatens to shatter an American dream."
David Foster: Off the Record,Canada,TV-MA,"Documentaries, Music & Musicals","From child prodigy to iconic music producer, David Foster shares the stories behind his success with rare footage and interviews with his collaborators."
"Yours Sincerely, Kanan Gill",India,TV-MA,Stand-Up Comedy,"Revisiting life goals set in a letter written as a teen to his future self, comedian Kanan Gill reports back on if he's lived up to his own expectations."
The Epic Tales of Captain Underpants in Space,United States,TV-Y7,"Kids' TV, TV Action & Adventure, TV Comedies",Best friends George and Harold — along with their classmates and tyrannical principal — are recruited for a mysterious mission in outer space.
Revolutionary Love,South Korea,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",A third-generation chaebol falls in love with a woman who opens his eyes to the struggles of the working class and inspires him to make a difference.
Blood of Zeus,United States,TV-MA,Anime Series,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army."
Operações Especiais,Brazil,TV-MA,"Action & Adventure, International Movies","In a crime-plagued area of Rio de Janeiro, a team of honest cops, including a determined rookie, fights corruption and mistrust on all sides."
Yu-Gi-Oh!,Japan,TV-Y7,"Anime Series, Kids' TV","The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality."
Qila,India,TV-14,"Dramas, International Movies","When an abusive landowner is murdered, his twin brother sets out to find the killer but quickly discovers that everyone, it seems, wanted him dead."
Trevor Noah: Son of Patricia,United States,TV-MA,Stand-Up Comedy,"""Daily Show"" host Trevor Noah touches on tacos, runaway snakes, camping, racism immunity and lessons he learned from his mother in this comedy special."
Bling Empire,United States,TV-MA,Reality TV,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series."
A Little Chaos,United Kingdom,R,"Dramas, Independent Movies, International Movies","A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications."
Boys Over Flowers,South Korea,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.
The Worst Witch,"United Kingdom, Germany",TV-G,"British TV Shows, Kids' TV","After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books."
The Karate Kid,United States,PG,"Action & Adventure, Children & Family Movies, Classic Movies","When a bullied teen befriends an unassuming martial arts master, he’ll learn life lessons — and the right moves — to beat back his merciless rivals."
